sn,slot,port,ont_id,isonline,olt
HWTCA8911A9B,1,1,74,0,ZTE
ZTEGC4BAB5A0,1,1,75,0,ZTE
ZTEGC4BABD7A,1,1,76,0,ZTE
ZTEGC4B7CA32,1,1,77,0,ZTE
ZTEGC4BAB5D0,1,1,78,0,ZTE
ZTEGC4B7B2BF,1,1,79,0,ZTE
HWTCB817BD9B,1,1,80,0,ZTE
ZTEGC4B7B2F3,1,1,81,0,ZTE
ZTEGC4BA96AE,1,1,82,0,ZTE
ZTEGC4BA88A7,1,1,83,0,ZTE
ZTEGC4B7F101,1,1,84,0,ZTE
ZTEGC4B7B2BC,1,1,85,0,ZTE
ZTEGC4BAB553,1,1,86,0,ZTE
ZTEGC4BAB5D2,1,1,87,0,ZTE
ZTEGC4BAB02D,1,1,88,0,ZTE
ZTEGC4BA9242,1,1,89,0,ZTE
ZTEGC4B7CA0A,1,1,90,0,ZTE
ZTEGC4B79D73,1,1,91,0,ZTE
ZTEGC4B7CB7D,1,1,92,0,ZTE
ZTEGC4BAB537,1,1,93,0,ZTE
ZTEGC4BAB6AD,1,1,94,0,ZTE
ZTEGC4BAB53C,1,1,95,0,ZTE
ZTEGC4BAE149,1,1,96,0,ZTE
ZTEGC4B7B513,1,1,97,0,ZTE
ZTEGC4B7CBE0,1,1,98,0,ZTE
ZTEGC4B79D4F,1,1,99,0,ZTE
ZTEGC4B7B57A,1,1,100,0,ZTE
ZTEGC4B7A409,1,1,102,0,ZTE
ZTEGC4BA8AC5,1,1,103,0,ZTE
ZTEGC4B39418,1,1,104,0,ZTE
ZTEGC4B7CB76,1,1,105,0,ZTE
ZTEGC4BA9636,1,1,106,1,ZTE
ZTEGC4BAE0E4,1,1,107,0,ZTE
ZTEGC4B7F748,1,1,108,0,ZTE
ZTEGC4BABD53,1,1,109,0,ZTE
ZTEGC4BABDAE,1,1,110,0,ZTE
ZTEGC4BABE44,1,1,111,1,ZTE
ZTEGC4BABD23,1,1,112,0,ZTE
ZTEGC4B7C9F0,1,1,113,0,ZTE
ZTEGC4BABCF7,1,1,114,0,ZTE
ZTEGC4BABCC2,1,1,115,0,ZTE
ZTEGC8EC4058,1,1,116,0,ZTE
ZTEGC8EBEC9B,1,1,117,0,ZTE
ZTEGC8EBCF24,1,1,118,0,ZTE
ZTEGC8EC45B6,1,1,119,0,ZTE
ZTEGC8EC45A4,1,1,120,0,ZTE
ZTEGC8EC4550,1,1,121,0,ZTE
ZTEGC8EBC57F,1,1,122,0,ZTE
ZTEGC4BA8EA9,1,1,123,0,ZTE
ZTEGC8EBECBE,1,1,124,0,ZTE
ZTEGC8EC3001,1,1,125,0,ZTE
ZTEGC8EC437A,1,1,126,0,ZTE
ZTEGC8EBCD73,1,1,127,1,ZTE
ZTEGC8EBF286,1,1,128,0,ZTE
